non_dicom_file_id,download_row_id,download_id,file_name,file_ext,package_path,file_role,bytes,checksum,checksum_algorithm,object_modality,image_format,is_wsi,is_codex,source_table,source_row_id
pathology-file-object:cac1acba513b3e9ee9c345c8,696,48969,HE__C3N-01197-15.ome.tif,.tif,cropped_files/HE__C3N-01197-15.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:a9a210edfc4e73a5d0e9e91d
pathology-file-object:6109ab0e24c257be186a0fc9,696,48969,HE__C3N-03070-12.ome.tif,.tif,cropped_files/HE__C3N-03070-12.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:bab77920e896622fe8d8e20f
pathology-file-object:2fca93787516e0d394d09a1d,696,48969,HE__C3N-03448-11.ome.tif,.tif,cropped_files/HE__C3N-03448-11.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:0e26b0e1478e6304d323e7a7
pathology-file-object:dbb17abea05e54ce24d0779a,696,48969,HE__C3N-03450-18.ome.tif,.tif,cropped_files/HE__C3N-03450-18.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:9c6bc7809ab7942e8b2493df
pathology-file-object:99161da3173ad380d7c3a7bd,696,48969,HE__HS-12-30984_1F.ome.tif,.tif,cropped_files/HE__HS-12-30984_1F.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:5f6db1f5c75dc58c73e58987
pathology-file-object:e979b764109f68985aa8fb3c,696,48969,HE__HS-13-18789_1B.ome.tif,.tif,cropped_files/HE__HS-13-18789_1B.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:5f1bc5ceb797c5bf7b73e86d
pathology-file-object:5b09cfb2899d429d5d530fe1,696,48969,HE__HS-13-23034_1C.ome.tif,.tif,cropped_files/HE__HS-13-23034_1C.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:ee27c32370acc7c441443254
pathology-file-object:1abab3ad05ed65fd8b98ac45,696,48969,HE__HS-13-6668_2B.ome.tif,.tif,cropped_files/HE__HS-13-6668_2B.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:8b8f2ca6cf6753b966f7c5f1
pathology-file-object:c46b45bf9ff7a1fe8c3579e3,696,48969,HE__HS-14-13304_1C.ome.tif,.tif,cropped_files/HE__HS-14-13304_1C.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:3860be6bbb09a9a187ddb6c4
pathology-file-object:c5babfbb888744b4c0e9abb0,696,48969,HE__HS-16-21554_2D.ome.tif,.tif,cropped_files/HE__HS-16-21554_2D.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:26391c77e492479aed46a1ba
pathology-file-object:f84783ae1c634e0875facf18,696,48969,HE__HS-16-40491_1D.ome.tif,.tif,cropped_files/HE__HS-16-40491_1D.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:43568f71d1255b091ee670a7
pathology-file-object:c52e6af4ea39c5352c4688ff,696,48969,HE__HS-17-12425_3B.ome.tif,.tif,cropped_files/HE__HS-17-12425_3B.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:1f45f75b7cc30464e756fbda
pathology-file-object:17fb490d59bbcce1e80b1d74,696,48969,HE__HS-18-11250_1B.ome.tif,.tif,cropped_files/HE__HS-18-11250_1B.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:f31946d9538bd9d67c8a7730
pathology-file-object:20109dec23c8ac476520ba30,696,48969,HE__HS-18-6934_2A.ome.tif,.tif,cropped_files/HE__HS-18-6934_2A.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:337de8a9378e4c48c9846267
pathology-file-object:c854f373d69f098cf7354c48,696,48969,HE__HS-19-14816_1J.ome.tif,.tif,cropped_files/HE__HS-19-14816_1J.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:9cb7d31a19ca5a9f5f1d3036
pathology-file-object:d1e666d1268231f34845667a,696,48969,HE__HS-19-6647_1B.ome.tif,.tif,cropped_files/HE__HS-19-6647_1B.ome.tif,whole_slide_image,,,,SM,TIF,1,0,pathology_package_files,pathology-package-file:b3a252ea754cab5426fae5f4
